"taxon","taxonomic_level","species"
"Agonidae_1","family","Chesnonia verrucosa"
"Agonidae_1","family","Pallasina barbata"
"Anoplarchus","genus","Anoplarchus insignis"
"Anoplarchus","genus","Anoplarchus purpurescens"
"Atheresthes","genus","Atheresthes evermanni"
"Atheresthes","genus","Atheresthes stomias"
"Bathymaster","genus","Bathymaster leurolepis"
"Bathymaster","genus","Bathymaster signatus"
"Bathymaster","genus","Bathymaster caeruleofasciatus"
"Hexagrammos","genus","Hexagrammos lagocephalus"
"Hexagrammos","genus","Hexagrammos octogrammus"
"Hexagrammos","genus","Hexagrammos stelleri"
"Lepidopsetta","genus","Lepidopsetta bilineata"
"Lepidopsetta","genus","Lepidopsetta polyxystra"
"Myoxocephalus","genus","Myoxocephalus jaok"
"Myoxocephalus","genus","Myoxocephalus polyacanthocephalus"
"Myoxocephalus","genus","Myoxocephalus quadricornis"
"Myoxocephalus","genus","Myoxocephalus scorpius"
"Oligocottus","genus","Oligocottus maculosus"
"Oligocottus","genus","Oligocottus snyderi"
"Pleuronectidae_1","family","Isopsetta isolepis"
"Pleuronectidae_1","family","Parophrys vetulus"
"Pleuronectidae_1","family","Psettichthys melanostictus"
"Salvelinus","genus","Salvelinus alpinus"
"Salvelinus","genus","Salvelinus malma"
"Sebastes","genus","Sebastes aleutianus"
"Sebastes","genus","Sebastes alutus"
"Sebastes","genus","Sebastes babcocki"
"Sebastes","genus","Sebastes brevispinis"
"Sebastes","genus","Sebastes elongatus"
"Sebastes","genus","Sebastes emphaeus"
"Sebastes","genus","Sebastes flavidus"
"Sebastes","genus","Sebastes helvomaculatus"
"Sebastes","genus","Sebastes melanops"
"Sebastes","genus","Sebastes miniatus"
"Sebastes","genus","Sebastes pinniger"
"Sebastes","genus","Sebastes proriger"
"Sebastes","genus","Sebastes rosaceus"
"Sebastes","genus","Sebastes ruberrimus"
"Sebastes","genus","Sebastes variegatus"
"Sebastes","genus","Sebastes wilsoni"
"Sebastes","genus","Sebastes zacentrus"
"Sebastes","genus","Sebastes caurinus"
"Sebastes","genus","Sebastes maliger"
"Sebastes","genus","Sebastes ciliatus"
"Sebastes","genus","Sebastes crameri"
"Sebastes","genus","Sebastes polyspinis"
"Sebastes","genus","Sebastes reedi"
"Sebastes","genus","Sebastes variabilis"
"Sebastes","genus","Sebastes nigrocinctus"
"Sebastes","genus","Sebastes borealis"
"Sebastes","genus","Sebastes saxicola"
"Sebastes","genus","Sebastes nebulosus"
"Sebastes","genus","Sebastes auriculatus"
"Sebastolobus","genus","Sebastolobus alascanus"
"Sebastolobus","genus","Sebastolobus altivelis"
"Thunnus","genus","Thunnus alalunga"
"Thunnus","genus","Thunnus orientalis"
"Xiphister","genus","Xiphister atropurpureus"
"Xiphister","genus","Xiphister mucosus"
